candidate_id,rank,score,reasoning
CAND_0007052,61,0.6767,"Excellent 'Hidden Gem' candidate with title ML Engineer but strong technical competency in Weaviate, Milvus. A transitional profile who built search or matching infrastructure at scale, and has a short 60-day notice period."
CAND_0044222,62,0.6766,"AI Engineer possessing adjacent backend skills with 7.7 years of experience. Engagement signals are positive, though missing direct experience with modern vector search libraries."
CAND_0016163,63,0.6761,"Excellent 'Hidden Gem' candidate with title Applied ML Engineer but strong technical competency in Weaviate, Embeddings. A transitional profile who built search or matching infrastructure at scale, and has a short 120-day notice period."
CAND_0015967,64,0.6753,"Excellent 'Hidden Gem' candidate with title Senior Software Engineer (ML) but strong technical competency in Pinecone, Embeddings. A transitional profile who built search or matching infrastructure at scale, and has a short 30-day notice period."
CAND_0042506,65,0.6749,"Excellent 'Hidden Gem' candidate with title Search Engineer but strong technical competency in Milvus, Qdrant. A transitional profile who built search or matching infrastructure at scale, and has a short 15-day notice period."
CAND_0078492,66,0.6747,"Excellent 'Hidden Gem' candidate with title Recommendation Systems Engineer but strong technical competency in FAISS, Qdrant. A transitional profile who built search or matching infrastructure at scale, and has a short 30-day notice period."
CAND_0086022,67,0.6733,"Excellent 'Hidden Gem' candidate with title Senior Applied Scientist but strong technical competency in Elasticsearch, Pinecone. A transitional profile who built search or matching infrastructure at scale, and has a short 0-day notice period."
CAND_0090155,68,0.6721,"Excellent 'Hidden Gem' candidate with title ML Engineer but strong technical competency in Milvus, Qdrant. A transitional profile who built search or matching infrastructure at scale, and has a short 90-day notice period."
CAND_0064888,69,0.6715,"Excellent 'Hidden Gem' candidate with title ML Engineer but strong technical competency in Embeddings, Elasticsearch. A transitional profile who built search or matching infrastructure at scale, and has a short 30-day notice period."
CAND_0071974,70,0.6715,"Senior AI Engineer with 7.8 years of hands-on experience, showing substantial technical depth in Weaviate, Pinecone. Matches the 'product over research' profile with strong experience shipping scalable backend architectures."
CAND_0004402,71,0.6714,"AI Research Engineer possessing adjacent backend skills with 6.0 years of experience. Engagement signals are positive, though missing direct experience with modern vector search libraries."
CAND_0098217,72,0.6714,"Excellent 'Hidden Gem' candidate with title ML Engineer but strong technical competency in FAISS, Pinecone. A transitional profile who built search or matching infrastructure at scale, and has a short 45-day notice period."
CAND_0041568,73,0.6711,"Excellent 'Hidden Gem' candidate with title Search Engineer but strong technical competency in Weaviate, Qdrant. A transitional profile who built search or matching infrastructure at scale, and has a short 90-day notice period."
CAND_0046353,74,0.6702,"Excellent 'Hidden Gem' candidate with title ML Engineer but strong technical competency in FAISS, Qdrant. A transitional profile who built search or matching infrastructure at scale, and has a short 120-day notice period."
CAND_0001930,75,0.6699,"Excellent 'Hidden Gem' candidate with title Senior Software Engineer (ML) but strong technical competency in NLP, Embeddings. A transitional profile who built search or matching infrastructure at scale, and has a short 120-day notice period."
CAND_0016659,76,0.6697,"Excellent 'Hidden Gem' candidate with title ML Engineer but strong technical competency in Pinecone, FAISS. A transitional profile who built search or matching infrastructure at scale, and has a short 45-day notice period."
CAND_0024466,77,0.6688,"Excellent 'Hidden Gem' candidate with title Search Engineer but strong technical competency in NLP, Pinecone. A transitional profile who built search or matching infrastructure at scale, and has a short 120-day notice period."
CAND_0031593,78,0.6688,"Excellent 'Hidden Gem' candidate with title Search Engineer but strong technical competency in Embeddings, Elasticsearch. A transitional profile who built search or matching infrastructure at scale, and has a short 90-day notice period."
CAND_0010541,79,0.6671,"AI Research Engineer possessing adjacent backend skills with 6.2 years of experience. Engagement signals are positive, though missing direct experience with modern vector search libraries."
CAND_0094799,80,0.6662,"Excellent 'Hidden Gem' candidate with title Backend Engineer but strong technical competency in Python, Pinecone. A transitional profile who built search or matching infrastructure at scale, and has a short 30-day notice period."
CAND_0038368,81,0.6659,"Excellent 'Hidden Gem' candidate with title ML Engineer but strong technical competency in Embeddings, FAISS. A transitional profile who built search or matching infrastructure at scale, and has a short 30-day notice period."
CAND_0050876,82,0.6657,"Excellent 'Hidden Gem' candidate with title Applied ML Engineer but strong technical competency in Qdrant, FAISS. A transitional profile who built search or matching infrastructure at scale, and has a short 90-day notice period."
CAND_0068351,83,0.6656,"Lead AI Engineer possessing adjacent backend skills with 6.4 years of experience. Engagement signals are positive, though missing direct experience with modern vector search libraries."
CAND_0007596,84,0.6654,"Excellent 'Hidden Gem' candidate with title Junior ML Engineer but strong technical competency in Python, Weaviate. A transitional profile who built search or matching infrastructure at scale, and has a short 45-day notice period."
CAND_0006418,85,0.6652,"Machine Learning Engineer possessing adjacent backend skills with 5.7 years of experience. Engagement signals are positive, though missing direct experience with modern vector search libraries."
CAND_0017093,86,0.6651,"Excellent 'Hidden Gem' candidate with title ML Engineer but strong technical competency in Embeddings. A transitional profile who built search or matching infrastructure at scale, and has a short 30-day notice period."
CAND_0068410,87,0.665,"Excellent 'Hidden Gem' candidate with title Senior Software Engineer (ML) but strong technical competency in Qdrant. A transitional profile who built search or matching infrastructure at scale, and has a short 45-day notice period."
CAND_0011140,88,0.6642,"Excellent 'Hidden Gem' candidate with title ML Engineer but strong technical competency in Elasticsearch, Weaviate. A transitional profile who built search or matching infrastructure at scale, and has a short 120-day notice period."
CAND_0098624,89,0.6637,"Excellent 'Hidden Gem' candidate with title Senior Software Engineer (ML) but strong technical competency in Qdrant, Embeddings. A transitional profile who built search or matching infrastructure at scale, and has a short 60-day notice period."
CAND_0018094,90,0.6636,"Excellent 'Hidden Gem' candidate with title ML Engineer but strong technical competency in Pinecone. A transitional profile who built search or matching infrastructure at scale, and has a short 45-day notice period."
CAND_0079387,91,0.6636,"AI Engineer possessing adjacent backend skills with 6.9 years of experience. Engagement signals are positive, though missing direct experience with modern vector search libraries."
CAND_0032216,92,0.6635,"Excellent 'Hidden Gem' candidate with title ML Engineer but strong technical competency in Qdrant. A transitional profile who built search or matching infrastructure at scale, and has a short 30-day notice period."
CAND_0099751,93,0.6614,"Excellent 'Hidden Gem' candidate with title Junior ML Engineer but strong technical competency in Weaviate. A transitional profile who built search or matching infrastructure at scale, and has a short 120-day notice period."
CAND_0062247,94,0.6609,"AI Engineer possessing adjacent backend skills with 7.3 years of experience. Engagement signals are positive, though missing direct experience with modern vector search libraries."
CAND_0053591,95,0.6603,"AI Engineer possessing adjacent backend skills with 5.3 years of experience. Engagement signals are positive, though missing direct experience with modern vector search libraries."
CAND_0028422,96,0.6598,"Excellent 'Hidden Gem' candidate with title Junior ML Engineer but strong technical competency in Pinecone. A transitional profile who built search or matching infrastructure at scale, and has a short 90-day notice period."
CAND_0036437,97,0.6598,"Excellent 'Hidden Gem' candidate with title Search Engineer but strong technical competency in Elasticsearch, Milvus. A transitional profile who built search or matching infrastructure at scale, and has a short 30-day notice period."
CAND_0089495,98,0.6592,"Excellent 'Hidden Gem' candidate with title Senior Software Engineer (ML) but strong technical competency in Python, Milvus. A transitional profile who built search or matching infrastructure at scale, and has a short 90-day notice period."
CAND_0043228,99,0.6584,"Excellent 'Hidden Gem' candidate with title Applied ML Engineer but strong technical competency in NLP, Weaviate. A transitional profile who built search or matching infrastructure at scale, and has a short 30-day notice period."
CAND_0026532,100,0.6581,"Excellent 'Hidden Gem' candidate with title Recommendation Systems Engineer but strong technical competency in Embeddings, Pinecone. A transitional profile who built search or matching infrastructure at scale, and has a short 90-day notice period."
